Owner,Category,Qty,Vintage ,Winery ,Wine (Name),Varietal(s),Country ,State ,Region ,Appelation,Sub App,Vineyard/Cru,Retail Price ,Volume (mL),Drinking Window,Box #,Notes,Drank,Pulled 1,Double Check,Pull 1 To Drink,Ready to Drink
R,Red,1,2016,Force Majure,SJR Vineyard,Syrah,USA,OR,Columbia Valley,Walla Walla Valley,The Rocks,SJR Vineyard,$97.00,750,Medium,M7,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2016,Livio Sassetti,Pertimali  - Brunello Di Montalcino,Other,Italy,,Tuscany,Brunello di Montalcino,,,$90.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Luigi Baudana,Barolo - Cerretta,Nebbiolo,Italy,,Piedmont,Serralunga d'Alba,Barolo,Cerretta,$90.00,750,Medium,,,FALSE,FALSE,TRUE,FALSE,FALSE
R,Red,2,2016,Cavallotto,Bricco Boschis,Other,Italy,,Piedmont,Barolo,,Bricco Boschis,$88.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Chateau Des Tours,Cotes Du Rhone,Rhone Blend,France,-,Rhone Valley,Cotes Du Rhone,,,$80.00,750,Medium,L5,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Giovanni Rosso,Barolo - Cerretta,Nebbiolo,Italy,-,Piedmont,Barolo,Serralunga d'Alba,Cerreta,$80.00,750,Medium,M7,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2016,Joseph Phelps Winery,Napa Valley Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,$80.00,750,Medium,M2,,FALSE,FALSE,FALSE,TRUE,TRUE
R,Red,1,2016,Trinite Estate,Acaibo,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Sonoma County,,,$75.00,750,Medium,M/S1,,TRUE,TRUE,FALSE,TRUE,TRUE
R,Red,1,2016,Hall Wines,Coeur,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,70,750,Medium,M4,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Red,1,2016,Domaine Carneros,Dijon 777 Clone,Pinot Noir,USA,CA,Northern CA,Napa Valley,Carneros,,60,750,Short,S1,,TRUE,FALSE,FALSE,TRUE,TRUE
R,Red,1,2013,Sterling Vineyards,Planium Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,85,750,Short,M6,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Red,1,2016,Hall Wines,Terra Secca,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,$70.00,750,Medium,M4,,TRUE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2016,Sequoia Grove,Winemakers Series Cabernet Franc,Cabernet Franc,USA,CA,Northern CA,Napa Valley,,,50,750,Medium,M1,,TRUE,FALSE,TRUE,FALSE,TRUE
R,Red,1,2016,Pax Wines,Griffin's Lair Vineyard ,Syrah,USA,CA,Northern CA,Sonoma Coast,,Griffin's Lair,$60.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Big Basin Vineyards,Terraces Syrah,Syrah,USA,CA,Northern CA,Central Coast,,Rattlesnake Vineyard,$55.00,750,Medium,M/S1,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2016,Silverado Vineyards,Estate Grown Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,-,,$55.00,750,Medium,M2,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,GC Lurton,Sonoma Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Sonoma County,,,50,750,Short,S2,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Red,1,2007,Marcarini,Brunate,Other,Italy,,Piedmont,,,Brunate,58,50,Now,Domaine Wine Storage ,excellent. buy producer and vineyard again,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2016,Silverado Vineyards,Mt. George Cab Franc,Cabernet Franc,USA,CA,Northern CA,Napa Valley,Mt. George,,$50.00,750,Medium,M4,,FALSE,FALSE,FALSE,FALSE,TRUE
R+M,Red,1,2016,White Rock Vineyards,Laureate ,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,100,750,Short,M9,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2012,Pax Wines,James Berry Vineyard - Paso Robles,Syrah,USA,CA,Central Coast,Paso Robles,,James Berry Vineyard,40,750,Now,Domaine Leflaive OWC ,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2016,Pax Wines,Griffins Lair Vineyard,Syrah,USA,CA,Northern CA,Sonoma Coast,,Griffins Lair Vineyard,$50.00,750,Medium,M/S1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2011,Mayacamas Vineyards,Mt. Veeder Cabernet ,Cabernet Sauvignon,USA,CA,Northern CA,Mt. Veeder,,,171,750,Medium,Home Wine Fridge,,TRUE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2017,Big Basin Vineyards,Homestead,Other,USA,CA,Northern CA,Central Coast,,,35,750,Short,M/S1,,TRUE,TRUE,FALSE,TRUE,FALSE
R,Red,1,2012,Chateau Dufort Vivens,Grand Vin,Bordeaux Blend - Left Bank,France,-,Bordeaux,Margaux,,,55,750,Medium,M8,,TRUE,FALSE,FALSE,TRUE,FALSE
R+M,Red,1,2017,Castello Di Ama,San Lorenzo Chianti Classico Gran Selezione ,Other,Italy,,Tuscany,Chianti Classico,,,75,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R+M,Red,1,2017,Corison Winery,Kronos Vineyard Cabernet Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,Kronos Vineyard,225,750,Medium,L5,,FALSE,FALSE,FALSE,FALSE,FALSE
R+M,Red,1,2017,Corison Winery,Kronos Vineyard Cabernet Sauv 1.5L,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,Kronos Vineyard,450,1500,Long,MA1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Domaine Carneros,La Ciel Serein,Pinot Noir,USA,CA,Northern CA,Napa Valley,Carneros,,59,750,Short,S1,,TRUE,TRUE,FALSE,TRUE,FALSE
R+M,Red,1,2017,Keenan Winery,Reserve Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Spring Mountain District,,120,750,Medium,M4,,FALSE,FALSE,FALSE,FALSE,FALSE
R+M,Red,1,2017,Pride Mountain Vineyards,Reserve Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,155,750,Medium,M4,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,3,2017,Vina Almaviva,Vina Almaviva Puente Alto,Bordeaux Blend - Left Bank,Chile,,Maipo Valley,Puente Alto,,,$150.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Walt Wines,Sierra Mar,Pinot Noir,USA,CA,Northern CA,Central Coast,Santa Lucia Highlands,Sierra Mar Vineyard,75,750,Short,S1,,TRUE,TRUE,FALSE,FALSE,FALSE
